name,term,freq,prediction_length,target_dim,windows,_min_series_length,sum_series_length,domain
cmip6_1940,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1940,long,6H,720,53,2,7300,3169484800,Climate
bdg-2_rat,short,H,48,1,19,8760,4728288,Energy
bdg-2_rat,medium,H,480,1,2,8760,4728288,Energy
bdg-2_rat,long,H,720,1,2,8760,4728288,Energy
era5_2018,short,H,48,45,19,8736,3220439040,Climate
era5_2018,medium,H,480,45,2,8736,3220439040,Climate
era5_2018,long,H,720,45,2,8736,3220439040,Climate
largest_2020,short,5T,48,1,20,105408,902397888,Transport
largest_2020,medium,5T,480,1,20,105408,902397888,Transport
largest_2020,long,5T,720,1,15,105408,902397888,Transport
cmip6_1875,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1875,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1875,long,6H,720,53,2,7300,3169484800,Climate
cmip6_1905,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1905,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1905,long,6H,720,53,2,7300,3169484800,Climate
borg_cluster_data_2011,short,5T,48,2,1,123,1075105708,CloudOps
borg_cluster_data_2011,medium,5T,480,2,1,123,1075105708,CloudOps
borg_cluster_data_2011,long,5T,720,2,1,123,1075105708,CloudOps
tourism_yearly,short,A-DEC,6,1,1,20,11198,Econ/Fin
tourism_yearly,medium,A-DEC,60,1,1,20,11198,Econ/Fin
tourism_yearly,long,A-DEC,90,1,1,20,11198,Econ/Fin
traffic_weekly,short,W-SUN,8,1,2,96,82752,Transport
traffic_weekly,medium,W-SUN,80,1,1,96,82752,Transport
traffic_weekly,long,W-SUN,120,1,1,96,82752,Transport
largest_2018,short,5T,48,1,20,105120,885951360,Transport
largest_2018,medium,5T,480,1,20,105120,885951360,Transport
largest_2018,long,5T,720,1,15,105120,885951360,Transport
PEMS07,short,5T,48,1,20,28224,24921792,Transport
PEMS07,medium,5T,480,1,6,28224,24921792,Transport
PEMS07,long,5T,720,1,4,28224,24921792,Transport
era5_2001,short,H,48,45,19,8736,3220439040,Climate
era5_2001,medium,H,480,45,2,8736,3220439040,Climate
era5_2001,long,H,720,45,2,8736,3220439040,Climate
cif_2016_6,short,M,12,1,1,22,633,Econ/Fin
cif_2016_6,medium,M,120,1,1,22,633,Econ/Fin
cif_2016_6,long,M,180,1,1,22,633,Econ/Fin
era5_1996,short,H,48,45,19,8736,3220439040,Climate
era5_1996,medium,H,480,45,2,8736,3220439040,Climate
era5_1996,long,H,720,45,2,8736,3220439040,Climate
bdg-2_panther,short,H,48,1,19,8760,919800,Energy
bdg-2_panther,medium,H,480,1,2,8760,919800,Energy
bdg-2_panther,long,H,720,1,2,8760,919800,Energy
cmip6_1985,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1985,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1985,long,6H,720,53,2,7300,3169484800,Climate
monash_m3_yearly,short,A-DEC,6,1,1,20,18319,Econ/Fin
monash_m3_yearly,medium,A-DEC,60,1,1,20,18319,Econ/Fin
monash_m3_yearly,long,A-DEC,90,1,1,20,18319,Econ/Fin
bitcoin_with_missing,short,D,30,1,16,4551,81918,Econ/Fin
bitcoin_with_missing,medium,D,300,1,2,4551,81918,Econ/Fin
bitcoin_with_missing,long,D,450,1,2,4551,81918,Econ/Fin
era5_1998,short,H,48,45,19,8736,3220439040,Climate
era5_1998,medium,H,480,45,2,8736,3220439040,Climate
era5_1998,long,H,720,45,2,8736,3220439040,Climate
era5_1992,short,H,48,45,19,8736,3220439040,Climate
era5_1992,medium,H,480,45,2,8736,3220439040,Climate
era5_1992,long,H,720,45,2,8736,3220439040,Climate
favorita_sales,short,D,30,1,1,250,139179538,Sales
favorita_sales,medium,D,300,1,1,250,139179538,Sales
favorita_sales,long,D,450,1,1,250,139179538,Sales
cmip6_1965,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1965,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1965,long,6H,720,53,2,7300,3169484800,Climate
hog,short,H,48,1,20,17544,421056,Energy
hog,medium,H,480,1,4,17544,421056,Energy
hog,long,H,720,1,3,17544,421056,Energy
era5_2005,short,H,48,45,19,8736,3220439040,Climate
era5_2005,medium,H,480,45,2,8736,3220439040,Climate
era5_2005,long,H,720,45,2,8736,3220439040,Climate
cmip6_1850,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1850,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1850,long,6H,720,53,2,7300,3169484800,Climate
PEMS03,short,5T,48,1,20,26208,9382464,Transport
PEMS03,medium,5T,480,1,6,26208,9382464,Transport
PEMS03,long,5T,720,1,4,26208,9382464,Transport
cmip6_1920,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1920,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1920,long,6H,720,53,2,7300,3169484800,Climate
covid19_energy,short,H,48,1,20,31912,31912,Transport
covid19_energy,medium,H,480,1,7,31912,31912,Transport
covid19_energy,long,H,720,1,5,31912,31912,Transport
LOS_LOOP,short,5T,48,1,20,34272,7094304,Transport
LOS_LOOP,medium,5T,480,1,8,34272,7094304,Transport
LOS_LOOP,long,5T,720,1,5,34272,7094304,Transport
cmip6_1895,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1895,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1895,long,6H,720,53,2,7300,3169484800,Climate
tourism_quarterly,short,Q-DEC,8,1,1,22,39128,Econ/Fin
tourism_quarterly,medium,Q-DEC,80,1,1,22,39128,Econ/Fin
tourism_quarterly,long,Q-DEC,120,1,1,22,39128,Econ/Fin
extended_web_traffic_with_missing,short,D,30,1,9,2557,370926091,Web
extended_web_traffic_with_missing,medium,D,300,1,1,2557,370926091,Web
extended_web_traffic_with_missing,long,D,450,1,1,2557,370926091,Web
subseasonal_precip,short,D,30,1,20,11323,9760426,Climate
subseasonal_precip,medium,D,300,1,4,11323,9760426,Climate
subseasonal_precip,long,D,450,1,3,11323,9760426,Climate
cmip6_2005,short,6H,48,53,16,7300,3169484800,Climate
cmip6_2005,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_2005,long,6H,720,53,2,7300,3169484800,Climate
era5_2016,short,H,48,45,19,8736,3220439040,Climate
era5_2016,medium,H,480,45,2,8736,3220439040,Climate
era5_2016,long,H,720,45,2,8736,3220439040,Climate
azure_vm_traces_2017,short,5T,48,1,1,97,885522908,CloudOps
azure_vm_traces_2017,medium,5T,480,1,1,97,885522908,CloudOps
azure_vm_traces_2017,long,5T,720,1,1,97,885522908,CloudOps
taxi_30min,short,30T,48,1,1,149,54999056,Transport
taxi_30min,medium,30T,480,1,1,149,54999056,Transport
taxi_30min,long,30T,720,1,1,149,54999056,Transport
favorita_transactions,short,D,30,1,1,118,84408,Sales
favorita_transactions,medium,D,300,1,1,118,84408,Sales
favorita_transactions,long,D,450,1,1,118,84408,Sales
smart,short,H,48,1,18,8398,95709,Energy
smart,medium,H,480,1,2,8398,95709,Energy
smart,long,H,720,1,2,8398,95709,Energy
kdd2022,short,10T,48,1,20,35279,4727519,Energy
kdd2022,medium,10T,480,1,8,35279,4727519,Energy
kdd2022,long,10T,720,1,5,35279,4727519,Energy
gfc17_load,short,H,48,1,20,17544,140352,Energy
gfc17_load,medium,H,480,1,4,17544,140352,Energy
gfc17_load,long,H,720,1,3,17544,140352,Energy
cif_2016_12,short,M,12,1,1,48,5701,Econ/Fin
cif_2016_12,medium,M,120,1,1,48,5701,Econ/Fin
cif_2016_12,long,M,180,1,1,48,5701,Econ/Fin
era5_2011,short,H,48,45,19,8736,3220439040,Climate
era5_2011,medium,H,480,45,2,8736,3220439040,Climate
era5_2011,long,H,720,45,2,8736,3220439040,Climate
borealis,short,H,48,1,8,3528,83269,Energy
borealis,medium,H,480,1,1,3528,83269,Energy
borealis,long,H,720,1,1,3528,83269,Energy
godaddy,short,MS,12,2,1,41,257070,Econ/Fin
godaddy,medium,MS,120,2,1,41,257070,Econ/Fin
godaddy,long,MS,180,2,1,41,257070,Econ/Fin
cmip6_1995,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1995,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1995,long,6H,720,53,2,7300,3169484800,Climate
vehicle_trips_with_missing,short,D,30,1,1,40,32512,Transport
vehicle_trips_with_missing,medium,D,300,1,1,40,32512,Transport
vehicle_trips_with_missing,long,D,450,1,1,40,32512,Transport
nn5_weekly,short,W-SUN,8,1,2,105,11655,Econ/Fin
nn5_weekly,medium,W-SUN,80,1,1,105,11655,Econ/Fin
nn5_weekly,long,W-SUN,120,1,1,105,11655,Econ/Fin
era5_2002,short,H,48,45,19,8736,3220439040,Climate
era5_2002,medium,H,480,45,2,8736,3220439040,Climate
era5_2002,long,H,720,45,2,8736,3220439040,Climate
pedestrian_counts,short,H,48,1,2,552,3130762,Transport
pedestrian_counts,medium,H,480,1,1,552,3130762,Transport
pedestrian_counts,long,H,720,1,1,552,3130762,Transport
era5_2008,short,H,48,45,19,8736,3220439040,Climate
era5_2008,medium,H,480,45,2,8736,3220439040,Climate
era5_2008,long,H,720,45,2,8736,3220439040,Climate
PEMS04,short,5T,48,3,20,16992,15649632,Transport
PEMS04,medium,5T,480,3,4,16992,15649632,Transport
PEMS04,long,5T,720,3,3,16992,15649632,Transport
cmip6_1950,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1950,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1950,long,6H,720,53,2,7300,3169484800,Climate
ideal,short,H,48,1,1,393,1255253,Energy
ideal,medium,H,480,1,1,393,1255253,Energy
ideal,long,H,720,1,1,393,1255253,Energy
cmip6_1865,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1865,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1865,long,6H,720,53,2,7300,3169484800,Climate
residential_load_power,short,T,48,3,2,901,437983677,Energy
residential_load_power,medium,T,480,3,1,901,437983677,Energy
residential_load_power,long,T,720,3,1,901,437983677,Energy
era5_1995,short,H,48,45,19,8736,3220439040,Climate
era5_1995,medium,H,480,45,2,8736,3220439040,Climate
era5_1995,long,H,720,45,2,8736,3220439040,Climate
cmip6_1915,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1915,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1915,long,6H,720,53,2,7300,3169484800,Climate
cmip6_1855,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1855,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1855,long,6H,720,53,2,7300,3169484800,Climate
beijing_air_quality,short,H,48,11,20,35064,4628448,Nature
beijing_air_quality,medium,H,480,11,8,35064,4628448,Nature
beijing_air_quality,long,H,720,11,5,35064,4628448,Nature
era5_2000,short,H,48,45,19,8736,3220439040,Climate
era5_2000,medium,H,480,45,2,8736,3220439040,Climate
era5_2000,long,H,720,45,2,8736,3220439040,Climate
cmip6_1925,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1925,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1925,long,6H,720,53,2,7300,3169484800,Climate
china_air_quality,short,H,48,6,5,1950,34435404,Nature
china_air_quality,medium,H,480,6,1,1950,34435404,Nature
china_air_quality,long,H,720,6,1,1950,34435404,Nature
kaggle_web_traffic_weekly,short,W-SUN,8,1,2,114,16537182,Web
kaggle_web_traffic_weekly,medium,W-SUN,80,1,1,114,16537182,Web
kaggle_web_traffic_weekly,long,W-SUN,120,1,1,114,16537182,Web
cdc_fluview_ilinet,short,W,8,5,3,211,319515,Healthcare
cdc_fluview_ilinet,medium,W,80,5,1,211,319515,Healthcare
cdc_fluview_ilinet,long,W,120,5,1,211,319515,Healthcare
era5_1997,short,H,48,45,19,8736,3220439040,Climate
era5_1997,medium,H,480,45,2,8736,3220439040,Climate
era5_1997,long,H,720,45,2,8736,3220439040,Climate
cmip6_1960,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1960,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1960,long,6H,720,53,2,7300,3169484800,Climate
cmip6_2000,short,6H,48,53,16,7300,3169484800,Climate
cmip6_2000,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_2000,long,6H,720,53,2,7300,3169484800,Climate
era5_2013,short,H,48,45,19,8736,3220439040,Climate
era5_2013,medium,H,480,45,2,8736,3220439040,Climate
era5_2013,long,H,720,45,2,8736,3220439040,Climate
nn5_daily_with_missing,short,D,30,1,3,735,81585,Econ/Fin
nn5_daily_with_missing,medium,D,300,1,1,735,81585,Econ/Fin
nn5_daily_with_missing,long,D,450,1,1,735,81585,Econ/Fin
largest_2021,short,5T,48,1,20,105120,898565760,Transport
largest_2021,medium,5T,480,1,20,105120,898565760,Transport
largest_2021,long,5T,720,1,15,105120,898565760,Transport
cmip6_1890,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1890,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1890,long,6H,720,53,2,7300,3169484800,Climate
largest_2019,short,5T,48,1,20,105120,904032000,Transport
largest_2019,medium,5T,480,1,20,105120,904032000,Transport
largest_2019,long,5T,720,1,15,105120,904032000,Transport
sunspot_with_missing,short,D,30,1,20,73894,73894,Nature
sunspot_with_missing,medium,D,300,1,20,73894,73894,Nature
sunspot_with_missing,long,D,450,1,17,73894,73894,Nature
m5,short,D,30,1,7,1913,58327370,Sales
m5,medium,D,300,1,1,1913,58327370,Sales
m5,long,D,450,1,1,1913,58327370,Sales
elf,short,H,48,1,20,21792,21792,Energy
elf,medium,H,480,1,5,21792,21792,Energy
elf,long,H,720,1,4,21792,21792,Energy
era5_1989,short,H,48,45,19,8736,3220439040,Climate
era5_1989,medium,H,480,45,2,8736,3220439040,Climate
era5_1989,long,H,720,45,2,8736,3220439040,Climate
cmip6_1990,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1990,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1990,long,6H,720,53,2,7300,3169484800,Climate
cockatoo,short,H,48,1,20,17544,17544,Energy
cockatoo,medium,H,480,1,4,17544,17544,Energy
cockatoo,long,H,720,1,3,17544,17544,Energy
era5_2014,short,H,48,45,19,8736,3220439040,Climate
era5_2014,medium,H,480,45,2,8736,3220439040,Climate
era5_2014,long,H,720,45,2,8736,3220439040,Climate
cmip6_1860,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1860,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1860,long,6H,720,53,2,7300,3169484800,Climate
era5_1990,short,H,48,45,19,8736,3220439040,Climate
era5_1990,medium,H,480,45,2,8736,3220439040,Climate
era5_1990,long,H,720,45,2,8736,3220439040,Climate
fred_md,short,M,12,1,6,716,76612,Econ/Fin
fred_md,medium,M,120,1,1,716,76612,Econ/Fin
fred_md,long,M,180,1,1,716,76612,Econ/Fin
cmip6_1910,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1910,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1910,long,6H,720,53,2,7300,3169484800,Climate
monash_m3_other,short,Q-DEC,8,1,1,63,11933,Econ/Fin
monash_m3_other,medium,Q-DEC,80,1,1,63,11933,Econ/Fin
monash_m3_other,long,Q-DEC,120,1,1,63,11933,Econ/Fin
era5_2007,short,H,48,45,19,8736,3220439040,Climate
era5_2007,medium,H,480,45,2,8736,3220439040,Climate
era5_2007,long,H,720,45,2,8736,3220439040,Climate
cmip6_1955,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1955,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1955,long,6H,720,53,2,7300,3169484800,Climate
subseasonal,short,D,30,4,20,16470,56788560,Climate
subseasonal,medium,D,300,4,6,16470,56788560,Climate
subseasonal,long,D,450,4,4,16470,56788560,Climate
traffic_hourly,short,H,48,1,20,17376,14978112,Transport
traffic_hourly,medium,H,480,1,4,17376,14978112,Transport
traffic_hourly,long,H,720,1,3,17376,14978112,Transport
monash_m3_monthly,short,M,12,1,1,48,141858,Econ/Fin
monash_m3_monthly,medium,M,120,1,1,48,141858,Econ/Fin
monash_m3_monthly,long,M,180,1,1,48,141858,Econ/Fin
cmip6_2010,short,6H,48,53,16,7300,3169484800,Climate
cmip6_2010,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_2010,long,6H,720,53,2,7300,3169484800,Climate
era5_2009,short,H,48,45,19,8736,3220439040,Climate
era5_2009,medium,H,480,45,2,8736,3220439040,Climate
era5_2009,long,H,720,45,2,8736,3220439040,Climate
wind_farms_with_missing,short,T,48,1,20,102905,172165370,Energy
wind_farms_with_missing,medium,T,480,1,20,102905,172165370,Energy
wind_farms_with_missing,long,T,720,1,15,102905,172165370,Energy
era5_2003,short,H,48,45,19,8736,3220439040,Climate
era5_2003,medium,H,480,45,2,8736,3220439040,Climate
era5_2003,long,H,720,45,2,8736,3220439040,Climate
gfc14_load,short,H,48,1,20,17520,17520,Energy
gfc14_load,medium,H,480,1,4,17520,17520,Energy
gfc14_load,long,H,720,1,3,17520,17520,Energy
project_tycho,short,W,8,1,2,102,1377707,Healthcare
project_tycho,medium,W,80,1,1,102,1377707,Healthcare
project_tycho,long,W,120,1,1,102,1377707,Healthcare
bdg-2_bear,short,H,48,1,19,8760,1482312,Energy
bdg-2_bear,medium,H,480,1,2,8760,1482312,Energy
bdg-2_bear,long,H,720,1,2,8760,1482312,Energy
m1_monthly,short,M,12,1,1,30,44892,Econ/Fin
m1_monthly,medium,M,120,1,1,30,44892,Econ/Fin
m1_monthly,long,M,180,1,1,30,44892,Econ/Fin
cmip6_1880,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1880,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1880,long,6H,720,53,2,7300,3169484800,Climate
era5_1994,short,H,48,45,19,8736,3220439040,Climate
era5_1994,medium,H,480,45,2,8736,3220439040,Climate
era5_1994,long,H,720,45,2,8736,3220439040,Climate
era5_2010,short,H,48,45,19,8736,3220439040,Climate
era5_2010,medium,H,480,45,2,8736,3220439040,Climate
era5_2010,long,H,720,45,2,8736,3220439040,Climate
cmip6_1935,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1935,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1935,long,6H,720,53,2,7300,3169484800,Climate
australian_electricity_demand,short,30T,48,1,20,230400,1153584,Energy
australian_electricity_demand,medium,30T,480,1,20,230400,1153584,Energy
australian_electricity_demand,long,30T,720,1,20,230400,1153584,Energy
m1_quarterly,short,Q-DEC,8,1,1,20,9854,Econ/Fin
m1_quarterly,medium,Q-DEC,80,1,1,20,9854,Econ/Fin
m1_quarterly,long,Q-DEC,120,1,1,20,9854,Econ/Fin
pdb,short,H,48,1,20,17520,17520,Energy
pdb,medium,H,480,1,4,17520,17520,Energy
pdb,long,H,720,1,3,17520,17520,Energy
lcl,short,H,48,1,1,193,9543553,Energy
lcl,medium,H,480,1,1,193,9543553,Energy
lcl,long,H,720,1,1,193,9543553,Energy
cmip6_1970,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1970,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1970,long,6H,720,53,2,7300,3169484800,Climate
oikolab_weather,short,H,48,1,20,100057,800456,Climate
oikolab_weather,medium,H,480,1,20,100057,800456,Climate
oikolab_weather,long,H,720,1,14,100057,800456,Climate
cmip6_1870,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1870,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1870,long,6H,720,53,2,7300,3169484800,Climate
cmip6_1900,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1900,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1900,long,6H,720,53,2,7300,3169484800,Climate
largest_2017,short,5T,48,1,20,105120,861563520,Transport
largest_2017,medium,5T,480,1,20,105120,861563520,Transport
largest_2017,long,5T,720,1,15,105120,861563520,Transport
tourism_monthly,short,M,12,1,1,67,100496,Econ/Fin
tourism_monthly,medium,M,120,1,1,67,100496,Econ/Fin
tourism_monthly,long,M,180,1,1,67,100496,Econ/Fin
HZMETRO,short,15T,48,2,5,2377,380320,Transport
HZMETRO,medium,15T,480,2,1,2377,380320,Transport
HZMETRO,long,15T,720,2,1,2377,380320,Transport
era5_2017,short,H,48,45,19,8736,3220439040,Climate
era5_2017,medium,H,480,45,2,8736,3220439040,Climate
era5_2017,long,H,720,45,2,8736,3220439040,Climate
cmip6_1945,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1945,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1945,long,6H,720,53,2,7300,3169484800,Climate
uber_tlc_daily,short,D,30,1,1,110,47087,Transport
uber_tlc_daily,medium,D,300,1,1,110,47087,Transport
uber_tlc_daily,long,D,450,1,1,110,47087,Transport
era5_1993,short,H,48,45,19,8736,3220439040,Climate
era5_1993,medium,H,480,45,2,8736,3220439040,Climate
era5_1993,long,H,720,45,2,8736,3220439040,Climate
era5_1999,short,H,48,45,19,8736,3220439040,Climate
era5_1999,medium,H,480,45,2,8736,3220439040,Climate
era5_1999,long,H,720,45,2,8736,3220439040,Climate
cmip6_1980,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1980,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1980,long,6H,720,53,2,7300,3169484800,Climate
weather,short,D,30,1,5,1302,42941700,Climate
weather,medium,D,300,1,1,1302,42941700,Climate
weather,long,D,450,1,1,1302,42941700,Climate
rideshare_with_missing,short,H,48,1,1,373,859392,Transport
rideshare_with_missing,medium,H,480,1,1,373,859392,Transport
rideshare_with_missing,long,H,720,1,1,373,859392,Transport
PEMS08,short,5T,48,3,20,17856,9106560,Transport
PEMS08,medium,5T,480,3,4,17856,9106560,Transport
PEMS08,long,5T,720,3,3,17856,9106560,Transport
era5_2004,short,H,48,45,19,8736,3220439040,Climate
era5_2004,medium,H,480,45,2,8736,3220439040,Climate
era5_2004,long,H,720,45,2,8736,3220439040,Climate
sceaux,short,H,48,1,20,34223,34223,Energy
sceaux,medium,H,480,1,8,34223,34223,Energy
sceaux,long,H,720,1,5,34223,34223,Energy
solar_power,short,4S,60,1,20,7397222,7397222,Energy
solar_power,medium,4S,600,1,20,7397222,7397222,Energy
solar_power,long,4S,900,1,20,7397222,7397222,Energy
m1_yearly,short,A-DEC,6,1,1,20,3136,Econ/Fin
m1_yearly,medium,A-DEC,60,1,1,20,3136,Econ/Fin
m1_yearly,long,A-DEC,90,1,1,20,3136,Econ/Fin
bdg-2_fox,short,H,48,1,19,8760,2324568,Energy
bdg-2_fox,medium,H,480,1,2,8760,2324568,Energy
bdg-2_fox,long,H,720,1,2,8760,2324568,Energy
Q-TRAFFIC,short,15T,48,1,13,5856,264386688,Transport
Q-TRAFFIC,medium,15T,480,1,2,5856,264386688,Transport
Q-TRAFFIC,long,15T,720,1,1,5856,264386688,Transport
